"zip_code","year","tot_crime"
60636,"2002",32
60636,"2003",27
60636,"2004",22
60636,"2005",23
60636,"2006",23
60636,"2007",15
60636,"2008",26
60636,"2009",21
60636,"2010",168
60636,"2011",208
60636,"2012",192
60636,"2013",134
60636,"2014",172
60636,"2015",202
60636,"2016",246
60636,"2017",111
60636,"2018",126
60636,"2019",120
60636,"2020",208
60636,"2021",205
60636,"2022",22
60637,"1991",47
60637,"1992",43
60637,"1993",23
60637,"1994",32
60637,"1995",36
60637,"1996",41
60637,"1997",27
60637,"1998",26
60637,"1999",26
60637,"2000",23
60637,"2001",17
60637,"2002",22
60637,"2003",17
60637,"2004",22
60637,"2005",16
60637,"2006",21
60637,"2007",21
60637,"2008",23
60637,"2009",19
60637,"2010",180
60637,"2011",179
60637,"2012",208
60637,"2013",111
60637,"2014",115
60637,"2015",115
60637,"2016",179
60637,"2017",156
60637,"2018",134
60637,"2019",100
60637,"2020",165
60637,"2021",230
60637,"2022",18
60638,"1991",1
60638,"1992",2
60638,"1993",3
60638,"1994",4
60638,"1995",4
60638,"1996",5
60638,"1997",5
60638,"1998",3
60638,"2000",4
60638,"2001",3
60638,"2002",7
60638,"2003",5
60638,"2004",7
60638,"2005",4
60638,"2006",1
60638,"2008",7
60638,"2009",3
60638,"2010",6
60638,"2011",3
60638,"2012",5
60638,"2013",5
60638,"2014",6
60638,"2015",4
60638,"2016",6
60638,"2017",14
60638,"2018",7
60638,"2019",4
60638,"2020",10
60638,"2021",9
60638,"2022",1
60639,"1991",6
60639,"1992",17
60639,"1993",19
60639,"1994",10
60639,"1995",7
60639,"1996",11
60639,"1997",20
60639,"1998",15
60639,"1999",14
60639,"2000",11
60639,"2001",11
60639,"2002",14
60639,"2003",10
60639,"2004",11
60639,"2005",17
60639,"2006",5
60639,"2007",10
60639,"2008",13
60639,"2009",8
60639,"2010",90
60639,"2011",66
60639,"2012",64
60639,"2013",51
60639,"2014",70
60639,"2015",82
60639,"2016",106
60639,"2017",98
60639,"2018",59
60639,"2019",57
60639,"2020",58
60639,"2021",72
60639,"2022",6
60640,"1991",21
60640,"1992",14
60640,"1993",16
60640,"1994",18
60640,"1995",13
60640,"1996",16
60640,"1997",5
60640,"1998",4
60640,"1999",4
60640,"2000",4
60640,"2001",9
60640,"2002",5
60640,"2003",10
60640,"2004",4
60640,"2005",4
60640,"2006",4
60640,"2007",5
60640,"2008",3
60640,"2009",2
60640,"2010",39
60640,"2011",44
60640,"2012",29
60640,"2013",25
60640,"2014",17
60640,"2015",31
60640,"2016",39
60640,"2017",29
60640,"2018",20
60640,"2019",13
60640,"2020",16
60640,"2021",16
60640,"2022",3
60641,"1991",3
60641,"1992",4
60641,"1993",4
60641,"1994",6
60641,"1995",3
60641,"1996",2
60641,"1997",5
60641,"1998",4
60641,"1999",3
60641,"2000",1
60641,"2001",4
60641,"2002",3
60641,"2003",3
60641,"2004",1
60641,"2005",2
60641,"2006",5
60641,"2007",2
60641,"2008",3
60641,"2009",1
60641,"2010",27
60641,"2011",16
60641,"2012",24
60641,"2013",19
60641,"2014",19
60641,"2015",17
60641,"2016",31
60641,"2017",27
60641,"2018",25
60641,"2019",16
60641,"2020",31
60641,"2021",29
60641,"2022",7
60642,"1991",7
60642,"1992",6
60642,"1993",4
60642,"1994",5
60642,"1995",8
60642,"1996",8
60642,"1997",3
60642,"1998",8
60642,"1999",6
60642,"2000",5
60642,"2001",6
60642,"2002",3
60642,"2003",5
60642,"2004",4
60642,"2005",4
60642,"2006",1
60642,"2007",1
60642,"2008",2
60642,"2009",2
60642,"2010",9
60642,"2011",6
60642,"2012",11
60642,"2013",7
60642,"2014",14
60642,"2015",4
60642,"2016",14
60642,"2017",9
60642,"2018",6
60642,"2019",7
60642,"2020",15
60642,"2021",10
60642,"2022",2
60643,"1991",15
60643,"1992",8
60643,"1993",21
60643,"1994",21
60643,"1995",14
60643,"1996",5
60643,"1997",10
60643,"1998",15
60643,"1999",6
60643,"2000",15
60643,"2001",11
60643,"2002",10
60643,"2003",9
60643,"2004",5
60643,"2005",4
60643,"2006",9
60643,"2007",9
60643,"2008",11
60643,"2009",9
60643,"2010",68
60643,"2011",48
60643,"2012",82
60643,"2013",61
60643,"2014",50
60643,"2015",58
60643,"2016",80
60643,"2017",82
60643,"2018",62
60643,"2019",47
60643,"2020",77
60643,"2021",66
60643,"2022",4
60644,"1991",30
60644,"1992",37
60644,"1993",24
60644,"1994",35
60644,"1995",36
60644,"1996",35
60644,"1997",41
60644,"1998",38
60644,"1999",33
60644,"2000",27
60644,"2001",34
60644,"2002",38
60644,"2003",26
60644,"2004",17
60644,"2005",20
60644,"2006",22
60644,"2007",19
60644,"2008",25
60644,"2009",23
60644,"2010",113
60644,"2011",102
60644,"2012",127
60644,"2013",120
60644,"2014",134
60644,"2015",152
60644,"2016",337
60644,"2017",288
60644,"2018",184
60644,"2019",165
60644,"2020",249
60644,"2021",225
60644,"2022",17
60645,"1991",4
60645,"1993",1
60645,"1996",2
60645,"1997",3
60645,"1998",2
60645,"1999",2
60645,"2000",3
60645,"2001",2
60645,"2002",2
60645,"2003",2
60645,"2005",2
60645,"2006",3
60645,"2007",6
60645,"2008",1
60645,"2009",1
60645,"2010",1
60645,"2011",4
60645,"2012",10
60645,"2013",8
60645,"2014",12
60645,"2015",11
60645,"2016",12
60645,"2017",11
60645,"2018",10
60645,"2019",7
60645,"2020",15
60645,"2021",9
60645,"2022",1
60646,"1993",1
