"zip_code","year","avg.house_price"
"60616","2016",325200.5
"60616","2017",336059.666666667
"60616","2018",344520.916666667
"60616","2019",348461.25
"60616","2020",352547.5
"60616","2021",370626
"60617","2000",93653.0833333333
"60617","2001",99925
"60617","2002",107246.166666667
"60617","2003",113951.333333333
"60617","2004",124079.083333333
"60617","2005",138775.666666667
"60617","2006",154778.25
"60617","2007",161290.5
"60617","2008",150482.75
"60617","2009",131481.083333333
"60617","2010",119104.416666667
"60617","2011",103635.916666667
"60617","2012",85380.5
"60617","2013",85039.0833333333
"60617","2014",88103.0833333333
"60617","2015",95979.25
"60617","2016",107584.083333333
"60617","2017",119580.833333333
"60617","2018",127420.5
"60617","2019",131901.916666667
"60617","2020",136364.25
"60617","2021",158959.416666667
"60618","2000",271084.916666667
"60618","2001",319801.5
"60618","2002",347528.666666667
"60618","2003",376292.25
"60618","2004",409665.75
"60618","2005",454124.5
"60618","2006",483168.083333333
"60618","2007",487237.833333333
"60618","2008",463451.083333333
"60618","2009",409225.833333333
"60618","2010",379524.333333333
"60618","2011",351490.25
"60618","2012",339754.333333333
"60618","2013",378114.75
"60618","2014",415018.25
"60618","2015",427622.75
"60618","2016",449349.166666667
"60618","2017",466402.5
"60618","2018",473417.75
"60618","2019",465896.083333333
"60618","2020",472152.833333333
"60618","2021",504827.416666667
"60619","2000",105286.25
"60619","2001",113486.583333333
"60619","2002",122370.416666667
"60619","2003",130061.5
"60619","2004",142069.5
"60619","2005",158289.833333333
"60619","2006",174440.25
"60619","2007",186245.083333333
"60619","2008",178916.083333333
"60619","2009",149214
"60619","2010",135068.416666667
"60619","2011",124643.916666667
"60619","2012",108586.333333333
"60619","2013",105038.333333333
"60619","2014",111503.5
"60619","2015",116181.75
"60619","2016",128224.916666667
"60619","2017",145441.583333333
"60619","2018",153045.666666667
"60619","2019",162239.083333333
"60619","2020",159222.25
"60619","2021",185116.25
"60620","2000",118338.416666667
"60620","2001",126457.75
"60620","2002",136552.083333333
"60620","2003",145866.916666667
"60620","2004",159632.666666667
"60620","2005",176504.25
"60620","2006",194156
"60620","2007",199311.5
"60620","2008",196790.583333333
"60620","2009",167509.916666667
"60620","2010",157747.083333333
"60620","2011",138742
"60620","2012",122314.916666667
"60620","2013",120037.916666667
"60620","2014",120308
"60620","2015",125457.75
"60620","2016",137381.333333333
"60620","2017",148889.916666667
"60620","2018",156877.583333333
"60620","2019",157345.666666667
"60620","2020",161009.666666667
"60620","2021",189619.583333333
"60621","2000",98567.1666666667
"60621","2001",104823.5
"60621","2002",108592.583333333
"60621","2003",110541.25
"60621","2004",119415.916666667
"60621","2005",139262.083333333
"60621","2006",156114.333333333
"60621","2007",167131.583333333
"60621","2008",161692.833333333
"60621","2009",123226.416666667
"60621","2010",102954.916666667
"60621","2011",93206.6666666667
"60621","2012",63799.5
"60621","2013",44840
"60621","2014",39259.1666666667
"60621","2015",47554.75
"60621","2016",47365.8333333333
"60621","2017",44195.4166666667
"60621","2018",50710.25
"60621","2019",55380.9166666667
"60621","2020",68716.8333333333
"60621","2021",96236.1666666667
"60622","2000",298808.5
"60622","2001",335709.083333333
"60622","2002",360742
"60622","2003",381740.083333333
"60622","2004",404121.083333333
"60622","2005",439337.25
"60622","2006",470153.5
"60622","2007",474337.333333333
"60622","2008",459751.75
"60622","2009",425339.333333333
"60622","2010",410752.666666667
"60622","2011",384111.833333333
"60622","2012",367970.166666667
"60622","2013",406223.166666667
"60622","2014",446836
"60622","2015",463429.166666667
"60622","2016",489273.833333333
"60622","2017",506813.333333333
"60622","2018",512894.583333333
"60622","2019",505452.083333333
"60622","2020",519097.583333333
"60622","2021",550460.5
"60623","2000",177278.666666667
"60623","2001",199804.5
"60623","2002",222304.833333333
"60623","2003",243277.083333333
"60623","2004",270726.833333333
"60623","2005",307689.416666667
"60623","2006",345189.583333333
"60623","2007",349613.25
"60623","2008",323315.083333333
"60623","2009",243308.416666667
"60623","2010",162239.916666667
"60623","2011",126120.833333333
"60623","2012",106387.583333333
"60623","2013",101908.083333333
"60623","2014",97100.3333333333
"60623","2015",108154.75
"60623","2016",125913.083333333
"60623","2017",133858.5
"60623","2018",165495
"60623","2019",174447.833333333
"60623","2020",175262.083333333
"60623","2021",190099.333333333
"60624","2000",150378.416666667
"60624","2001",158642.833333333
"60624","2002",165212.25
"60624","2003",176814.666666667
"60624","2004",190262.5
"60624","2005",207950.166666667
"60624","2006",239175.416666667
"60624","2007",257940.583333333
"60624","2008",251019.25
"60624","2009",186972.5
"60624","2010",140928.666666667
"60624","2011",101539.166666667
"60624","2012",95462.6666666667
"60624","2013",87325.5
"60624","2014",92673.9166666667
"60624","2015",98747.5
"60624","2016",114962.916666667
"60624","2017",124077.5
"60624","2018",149460.333333333
"60624","2019",167656.666666667
"60624","2020",168883.166666667
"60624","2021",190441.5
"60625","2000",223948.25
"60625","2001",262650.25
"60625","2002",288427.666666667
"60625","2003",315452.25
"60625","2004",347736.583333333
"60625","2005",391790.666666667
"60625","2006",421160.583333333
"60625","2007",418769.416666667
"60625","2008",397051.333333333
"60625","2009",348886.583333333
"60625","2010",322531.166666667
